date,latitude,longitude,xco2_bias_corrected
2024-01-25,26.452019,93.92504,419.04626
2024-01-25,26.456694,93.92463,416.51685
2024-01-25,26.46024,93.923546,416.13165
2024-01-25,25.451715,74.581825,423.94763
2024-01-25,25.450205,74.579765,421.91678
2024-01-25,25.448359,74.5778,423.92493
2024-01-25,26.06501,72.01091,420.91113
2024-01-25,26.068031,72.00942,421.1476
2024-01-25,26.07005,72.00827,420.38968
2024-01-25,23.912827,68.83852,425.36694
2024-01-25,23.914108,68.836624,425.75546
2024-01-25,23.91583,68.83504,424.88968
2024-01-25,23.548445,71.40819,423.9997
2024-01-25,23.551365,71.40776,423.8682
2024-01-25,23.55257,71.4064,423.96954
2024-01-25,19.151583,73.056366,421.35388
2024-01-25,19.153156,72.95909,427.48444
2024-01-25,19.096474,72.91905,417.304
2024-01-25,19.08726,73.06184,421.44608
2024-01-25,18.910175,73.07725,420.2769
2024-01-25,18.815727,73.08533,422.23798
2024-01-19,26.461025,93.92299,415.04462
2024-01-19,23.920523,93.38849,423.71243
2024-01-19,23.920681,93.38662,421.29752
2024-01-19,23.92399,93.38509,422.47055
2024-01-19,28.342087,72.56828,420.69937
2024-01-19,27.712828,75.18218,419.2654
2024-01-19,27.71322,75.181335,418.18073
2024-01-19,27.713915,75.180176,418.37946
2024-01-19,25.451803,74.58093,419.49188
2024-01-19,25.449055,74.5787,418.755
2024-01-19,25.448702,74.577,420.977
2024-01-19,26.066683,72.01032,419.56863
2024-01-19,26.067764,72.00842,420.75116
2024-01-19,23.912937,68.83761,423.55206
2024-01-19,23.913284,68.83559,423.5233
2024-01-19,23.917046,68.83434,421.2807
2024-01-19,23.551079,71.40774,420.69415
2024-01-19,23.55013,71.406654,420.41754
2024-01-19,23.552736,71.405624,420.75378
2024-01-19,22.936167,73.92016,416.1539
2024-01-19,22.937004,73.91914,416.5076
2024-01-19,19.150099,73.056046,421.8081
2024-01-19,19.152637,72.95906,425.5917
2024-01-19,19.094994,72.91876,420.1887
2024-01-19,19.088182,73.06221,421.76993
2024-01-19,18.909185,73.07719,421.53717
2024-01-19,18.81517,73.08553,423.88925
2024-01-13,28.9592,94.502205,415.96915
2024-01-13,28.959787,94.50061,417.88135
2024-01-13,23.919973,93.39006,425.80753
2024-01-13,23.920788,93.388306,423.60138
2024-01-13,23.921171,93.3865,424.26834
2024-01-13,28.3423,72.57051,421.82764
2024-01-13,25.446724,74.57869,420.46564
2024-01-13,26.064022,72.01174,425.28073
2024-01-13,26.066864,72.010414,424.65475
2024-01-13,23.913334,68.83967,423.73782
2024-01-13,23.91215,68.83718,424.46667
2024-01-13,23.914894,68.83589,424.52823
2024-01-13,23.547901,71.409065,420.74432
2024-01-13,23.550112,71.40867,421.74026
2024-01-13,23.551584,71.407364,420.97208
2024-01-13,22.935163,73.92216,417.99274
2024-01-13,22.937243,73.92147,419.2576
2024-01-13,19.227766,72.954796,421.03653
2024-01-13,19.231462,73.04587,421.95212
2024-01-13,19.150446,73.05723,421.4121
2024-01-13,19.088985,73.06341,422.30078
2024-01-13,18.910524,73.078415,422.05792
2024-01-13,18.816538,73.08685,422.33975
2024-01-07,26.453157,93.9253,418.34573
2024-01-07,26.454407,93.924095,417.97736
2024-01-07,26.45821,93.92316,417.97787
2024-01-07,23.919268,93.38898,421.44315
2024-01-07,23.92038,93.38724,423.63144
2024-01-07,23.921625,93.38562,422.7465
2024-01-07,27.712141,75.18321,420.01053
2024-01-07,27.71197,75.1821,418.27045
2024-01-07,27.713245,75.18112,420.38766
2024-01-07,25.448265,74.57953,420.81653
2024-01-07,25.446152,74.57748,422.26773
2024-01-07,26.06591,72.01101,421.51263
2024-01-07,26.067411,72.009415,419.72052
2024-01-07,23.911676,68.83831,423.3443
2024-01-07,23.912663,68.83637,422.62256
2024-01-07,23.91512,68.83494,422.78964
2024-01-07,23.549555,71.408615,420.67444
2024-01-07,23.548723,71.407326,420.4013
2024-01-07,23.550867,71.40608,421.29803
2024-01-07,22.93763,73.92046,421.06192
2024-01-20,22.964512,88.52967,420.33026
2024-01-20,22.875269,88.47962,420.47443
2024-01-21,29.752478,80.003365,424.50168
2024-01-21,29.751776,79.75475,418.2202
2024-01-21,29.797667,79.474625,423.50784
2024-01-21,29.752542,79.25639,417.74707
2024-01-21,29.541473,79.396576,419.93103
2024-01-21,29.353836,80.007545,418.7591
2024-01-21,29.359224,79.46584,414.83215
2024-01-21,29.251717,79.75814,416.79877
2024-01-21,25.65227,80.94093,422.93042
2024-01-21,24.257544,82.791534,420.27023
2024-01-21,23.978502,82.831505,425.42932
2024-01-21,22.330828,82.68283,425.40863
2024-01-21,21.813086,81.52251,426.66852
2024-01-21,19.0748,79.49043,421.28525
2024-01-21,17.12058,78.201866,420.50232
2024-01-21,16.85402,77.91723,419.54053
