latitude,longitude,co2,blh,temperature,pressure,specific_humidity,month,year_month_str,season,fossil_flux_imp_gC,bio_flux_opt_gC,ocn_flux_opt_gC,fire_flux_imp_gC,f_anthro,f_natural,co2_anthro_only,co2_natural_only
9.5,76.5,427.4603670967742,320.35977,299.2626777419355,97207.96983870969,0.0145788987096774,1,2024-01,Winter,0.9685195967627027,-0.7928602232662801,0.001000022727012687,0.004154430517379521,0.5514779680787382,0.44852203192126183,361.32114361867383,346.13922347810035
9.5,79.5,428.032124516129,619.4916919354838,299.2060874193548,100254.01687096774,0.0150873272258064,1,2024-01,Winter,0.02614137810076824,-0.05659830725330456,0.020763044937211334,5.003755703022414e-06,0.42182810571392737,0.5781718942860726,342.4441106694469,365.5880138466821
10.5,75.5,427.4603670967742,320.35977,299.2626777419355,97207.96983870969,0.0145788987096774,1,2024-01,Winter,0.02684754640592344,-0.10023294136596524,0.0,0.0,0.2112641120335891,0.7887358879664109,311.1530835148471,396.3072835819271
10.5,76.5,427.4603670967742,320.35977,299.2626777419355,97207.96983870969,0.0145788987096774,1,2024-01,Winter,0.4902665745847036,-0.8146762565777078,0.0,0.007703506865368142,0.3779307066954454,0.6220692933045546,335.72980074645363,371.7305663503205
10.5,77.5,427.4603670967742,320.35977,299.2626777419355,97207.96983870969,0.0145788987096774,1,2024-01,Winter,0.3065078670278447,-0.7160039493956308,0.0,0.004803331081028601,0.30117452241219,0.69882547758781,324.41130563509716,383.049061461677
10.5,78.5,428.032124516129,619.4916919354838,299.2060874193548,100254.01687096774,0.0150873272258064,1,2024-01,Winter,0.4949603338282403,-0.5890600064202572,0.0,8.597027251927423e-05,0.4566331205451207,0.5433668794548794,347.5963709587238,360.4357535574052
10.5,79.5,428.032124516129,619.4916919354838,299.2060874193548,100254.01687096774,0.0150873272258064,1,2024-01,Winter,1.1215141965863484,-0.5379966455536225,0.0,1.7250769004086747e-05,0.6758171302486475,0.32418286975135246,380.0426455751008,327.9894789410282
10.5,80.5,428.032124516129,619.4916919354838,299.2060874193548,100254.01687096774,0.0150873272258064,1,2024-01,Winter,0.00038813418595454397,0.0,0.004238558638197782,0.0,0.0838901999130784,0.9161098000869216,292.41844451921577,415.6136799969132
11.5,75.5,427.4603670967742,320.35977,299.2626777419355,97207.96983870969,0.0145788987096774,1,2024-01,Winter,0.1236773038980426,-0.4688216875218286,0.0,0.0001177152976721306,0.2087799005188845,0.7912200994811155,310.7867607729427,396.67360632383145
11.5,76.5,427.4603670967742,320.35977,299.2626777419355,97207.96983870969,0.0145788987096774,1,2024-01,Winter,0.271059391770113,-0.5195408211260816,0.0,0.003110394697036011,0.3442068525914087,0.6557931474085913,330.75686884035434,376.70349825641983
